tissue	tissue_color		metacell_color	cell	cell_color	broadcell	broadcell_color
adult	#fb9a99	235	darkorange2	gland_secretory2	darkorange2	gland	orange1
adult	#fb9a99	236	darkorange2	gland_secretory2	darkorange2	gland	orange1
adult	#fb9a99	237	darkorange2	gland_secretory2	darkorange2	gland	orange1
adult	#fb9a99	238	darkorange2	gland_secretory2	darkorange2	gland	orange1
adult	#fb9a99	239	darkorange2	gland_secretory2	darkorange2	gland	orange1
adult	#fb9a99	240	darkorange3	gland_secretory3	darkorange3	gland	orange1
adult	#fb9a99	241	darkorange3	gland_secretory3	darkorange3	gland	orange1
adult	#fb9a99	242	darkorange3	gland_secretory3	darkorange3	gland	orange1
adult	#fb9a99	243	darkorange3	gland_secretory3	darkorange3	gland	orange1
adult	#fb9a99	244	orange3	gland_secretory4	orange3	gland	orange1
adult	#fb9a99	245	orange3	gland_secretory4	orange3	gland	orange1
adult	#fb9a99	246	orange3	gland_secretory4	orange3	gland	orange1
adult	#fb9a99	247	orange2	gland_secretory5	orange2	gland	orange1
adult	#fb9a99	248	orange2	gland_secretory5	orange2	gland	orange1
adult	#fb9a99	249	orange1	gland_secretory6	orange1	gland	orange1
adult	#fb9a99	250	orange1	gland_secretory6	orange1	gland	orange1
