gene	cell_type	FC	Species	Lifestage
Nvec_NVE4602	gland_secretory_5	79.6536732842185	Nvec	Adult
Nvec_NVE4603	gland_secretory_U1	138.546395932802	Nvec	Adult
Nvec_NVE4605	gland_secretory_8	21.8960840636287	Nvec	Adult
Nvec_NVE4634	gland_secretory_6	20.1550658234871	Nvec	Adult
Nvec_NVE4782	neuron_unk13	13.022943407531	Nvec	Adult
Nvec_NVE4805	neuron_unk15	8.16733009642173	Nvec	Adult
Nvec_NVE5454	neuron_unk6	13.6168367652165	Nvec	Adult
Nvec_NVE5901	gland_secretory_6	16.5586873109575	Nvec	Adult
Nvec_NVE6208	neuron_unclass6	85.2389970204216	Nvec	Adult
Nvec_NVE6406	gland_secretory_1B	72.963803866581	Nvec	Adult
Nvec_NVE6636	gland_secretory_4	23.7665848073817	Nvec	Adult
Nvec_NVE6890	precursors_neuronal	6.83638076545937	Nvec	Adult
Nvec_NVE7175	neuron_insulin	12.906441044533	Nvec	Adult
Nvec_NVE735	neuron_unclass2	18.5838885778674	Nvec	Adult
Nvec_NVE7526	gland_secretory_U3	96.3230989781881	Nvec	Adult
Nvec_NVE7724	epidermis	21.0623200617893	Nvec	Adult
Nvec_NVE7750	neuron_unclass6	127.573178737332	Nvec	Adult
Nvec_NVE7821	gastrodermis	8.89887887411492	Nvec	Adult
Nvec_NVE7851	neuron_unclass6	32.7745057083434	Nvec	Adult
Nvec_NVE7992	neuron_unclass10	15.5035469103438	Nvec	Adult
Nvec_NVE8041	neuron_lwamide	4.79534744941875	Nvec	Adult
Nvec_NVE8099	neuron_unk3	30.2758205822023	Nvec	Adult
Nvec_NVE8100	neuron_unk3	67.4379990175684	Nvec	Adult
Nvec_NVE8335	neuron_unk4	9.38545702301149	Nvec	Adult
Nvec_NVE8378	neuron_peptidergic4	25.3035220210039	Nvec	Adult
Nvec_NVE8379	neuron_peptidergic4	22.5927373340272	Nvec	Adult
Nvec_NVE8490	neuron_unk4	9.59084306473851	Nvec	Adult
Nvec_NVE8517	neuron_unclass10	11.4140976860602	Nvec	Adult
Nvec_NVE8749	gland_secretory_U4	103.203197860451	Nvec	Adult
Nvec_NVE9066	gland_secretory_U7	8.45133345639399	Nvec	Adult
Nvec_NVE9193	gland_secretory_U19	29.4896517637634	Nvec	Adult
Nvec_NVE9233	gland_secretory_1B	7.56847342017924	Nvec	Adult
Nvec_NVE9245	neuron_unclass13	12.6771048523265	Nvec	Adult
Nvec_NVE9358	gland_secretory_U1	12.1253264810768	Nvec	Adult
Nvec_NVE9787	digestive_filaments	6.19747698756956	Nvec	Adult
Nvec_NVE9956	neuron_unk15	7.66665705833354	Nvec	Adult
Nvec_NVE9976	cnidocyte_nematocytes	31.2646888322656	Nvec	Adult
Nvec_mOrange	gland_secretory_U7	7.93258523704924	Nvec	Adult
Nvec_orphan_peak_10589	neuron_unk4	12.6613669803278	Nvec	Adult
Nvec_orphan_peak_11192	neuron_unclass5	5.77744011516569	Nvec	Adult
Nvec_orphan_peak_1140	neuron_unclass5	7.05142398942397	Nvec	Adult
Nvec_orphan_peak_11434	neuron_unclass6	38.2793692131995	Nvec	Adult
Nvec_orphan_peak_11500	gland_secretory_U9	22.11617299599	Nvec	Adult
Nvec_orphan_peak_11501	gland_secretory_U9	33.1957615388894	Nvec	Adult
Nvec_orphan_peak_11504	gland_secretory_U9	78.9003390990324	Nvec	Adult
Nvec_orphan_peak_11858	gland_secretory_3	71.586665611575	Nvec	Adult
Nvec_orphan_peak_12287	neuron_unclass10	12.7621328189738	Nvec	Adult
Nvec_orphan_peak_12290	neuron_unk5	19.3725395924731	Nvec	Adult
Nvec_orphan_peak_12504	neuron_unk9	8.17953792132135	Nvec	Adult
Nvec_orphan_peak_12708	neuron_unk8	7.81029850393352	Nvec	Adult
Nvec_orphan_peak_12834	neuron_unclass3	11.7642758909307	Nvec	Adult
Nvec_orphan_peak_138	neuron_unclass6	10.4010636693624	Nvec	Adult
Nvec_orphan_peak_1438	gland_secretory_U11	20.0474212945563	Nvec	Adult
Nvec_orphan_peak_1781	neuron_unk11	6.74255643578367	Nvec	Adult
Nvec_orphan_peak_1826	neuron_unk12	11.3505258641164	Nvec	Adult
Nvec_orphan_peak_1947	neuron_unk11	8.22787266565149	Nvec	Adult
Nvec_orphan_peak_2189	gland_secretory_5	36.6987244739133	Nvec	Adult
Nvec_orphan_peak_2226	neuron_unclass5	5.69257140318207	Nvec	Adult
Nvec_orphan_peak_27	neuron_insulin	11.491408248107	Nvec	Adult
Nvec_orphan_peak_2845	neuron_unclass5	10.044638439384	Nvec	Adult
Nvec_orphan_peak_2876	gland_secretory_U15	29.4785002653683	Nvec	Adult
Nvec_orphan_peak_306	gland_secretory_U3	17.8647255582927	Nvec	Adult
Nvec_orphan_peak_3942	gland_secretory_U15	22.0680564051331	Nvec	Adult
