new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC
Galaxea_fascicularis_REEFv1___m1.18406.m1	1	1	adult_immune_2	adult_immune	2.94427714377503
Galaxea_fascicularis_REEFv1___m1.9565.m1	3	2	adult_neuron_2	adult_neuron	3.39649364206449
Galaxea_fascicularis_REEFv1___m1.9565.m1	3	2	adult_gland_10	adult_gland	3.24153734931957
Galaxea_fascicularis_REEFv1___m1.9565.m1	3	2	adult_neuron_14	adult_neuron	2.10424249372722
Galaxea_fascicularis_REEFv1___m1.4329.m1	2	1	adult_gland_2	adult_gland	2.11970255483686
Galaxea_fascicularis_REEFv1___m1.4329.m1	2	1	adult_gland_3_digestive	adult_gland	2.0047894654797
Galaxea_fascicularis_REEFv1___m1.15878.m1	1	1	adult_germline_sperm	adult_germline	3.44563316091552
Galaxea_fascicularis_REEFv1___m1.6034.m1	1	1	adult_germline_sperm	adult_germline	5.60977953098482
Galaxea_fascicularis_REEFv1___m1.20656.m1	1	1	adult_neuron_10	adult_neuron	2.97916829936403
Galaxea_fascicularis_REEFv1___m1.16729.m1	3	1	adult_neuron_10	adult_neuron	2.27137867378752
Galaxea_fascicularis_REEFv1___m1.16729.m1	3	1	adult_neuron_8	adult_neuron	5.832941575774
Galaxea_fascicularis_REEFv1___m1.16729.m1	3	1	adult_neuron_9	adult_neuron	3.43461204029033
Galaxea_fascicularis_REEFv1___m1.10471.m1	3	1	adult_neuron_10	adult_neuron	2.25070293458637
Galaxea_fascicularis_REEFv1___m1.10471.m1	3	1	adult_neuron_11	adult_neuron	2.01039578776002
Galaxea_fascicularis_REEFv1___m1.10471.m1	3	1	adult_neuron_12	adult_neuron	2.2279807529069
Galaxea_fascicularis_REEFv1___m1.8548.m1	1	1	adult_unknown	adult_unknown	2.87379884320056
Galaxea_fascicularis_REEFv1___m1.19704.m1	1	1	adult_neuron_13	adult_neuron	2.62812475126252
Galaxea_fascicularis_REEFv1___m1.4963.m1	2	1	adult_neuron_10	adult_neuron	2.58472691348782
Galaxea_fascicularis_REEFv1___m1.4963.m1	2	1	adult_neuron_8	adult_neuron	2.84048868147819
Galaxea_fascicularis_REEFv1___m1.660.m1	1	1	adult_neuron_12	adult_neuron	2.08098539745745
Galaxea_fascicularis_REEFv1___m1.3308.m1	1	1	adult_gland_9	adult_gland	2.7749030396997
Galaxea_fascicularis_REEFv1___m1.21157.m1	1	1	adult_immune_1	adult_immune	2.32503094154931
Galaxea_fascicularis_REEFv1___m1.14857.m1	1	1	adult_neuron_13	adult_neuron	3.12651024303135
Galaxea_fascicularis_REEFv1___m1.18084.m1	1	1	adult_germline_sperm	adult_germline	2.73363432561176
Galaxea_fascicularis_REEFv1___m1.13641.m1	1	1	adult_neuron_1	adult_neuron	2.42496927510139
Galaxea_fascicularis_REEFv1___m1.1277.m1	1	1	adult_germline_sperm	adult_germline	3.21857801309811
Galaxea_fascicularis_REEFv1___m1.9842.m1	2	1	adult_neuron_10	adult_neuron	2.710122833728
Galaxea_fascicularis_REEFv1___m1.9842.m1	2	1	adult_neuron_13	adult_neuron	2.04782911288611
Galaxea_fascicularis_REEFv1___m1.4606.m1	2	1	adult_neuron_12	adult_neuron	2.21358723992713
Galaxea_fascicularis_REEFv1___m1.4606.m1	2	1	adult_neuron_8	adult_neuron	2.56476209442524
Galaxea_fascicularis_REEFv1___m1.1273.m1	1	1	adult_neuron_13	adult_neuron	2.34331114091008
Galaxea_fascicularis_REEFv1___m1.19382.m1	1	1	adult_neuron_13	adult_neuron	98.4143928390022
Galaxea_fascicularis_REEFv1___m1.9687.m1	2	1	adult_neuron_12	adult_neuron	2.25407788845492
Galaxea_fascicularis_REEFv1___m1.9687.m1	2	1	adult_neuron_13	adult_neuron	2.58992764219757
Galaxea_fascicularis_REEFv1___m1.16656.m1	2	1	adult_neuron_2	adult_neuron	2.41209026065011
Galaxea_fascicularis_REEFv1___m1.16656.m1	2	1	adult_neuron_14	adult_neuron	2.05908421994035
Galaxea_fascicularis_REEFv1___m1.8471.m1	1	1	adult_neuron_12	adult_neuron	2.03958179529918
Galaxea_fascicularis_REEFv1___m1.23306.m1	1	1	adult_germline_sperm	adult_germline	5.20928730735637
Galaxea_fascicularis_REEFv1___m1.941.m1	1	1	adult_neuron_12	adult_neuron	2.57343227359197
Galaxea_fascicularis_REEFv1___m1.2575.m1	1	1	adult_neuron_13	adult_neuron	3.49777196596016
Galaxea_fascicularis_REEFv1___m1.19025.m1	1	1	adult_germline_sperm	adult_germline	4.22194480226766
Galaxea_fascicularis_REEFv1___m1.4284.m1	1	1	adult_digestive_filaments	adult_digestive	2.9285262021661
Galaxea_fascicularis_REEFv1___m1.18369.m1	1	1	adult_cnidocyte	adult_cnidocyte	5.69682797202269
Galaxea_fascicularis_REEFv1___m1.4288.m1	1	1	adult_digestive_filaments	adult_digestive	2.68508085639453
Galaxea_fascicularis_REEFv1___m1.6953.m1	1	1	adult_germline_sperm	adult_germline	8.52071538780068
Galaxea_fascicularis_REEFv1___m1.3072.m1	1	1	adult_germline_sperm	adult_germline	2.19011674292818
Galaxea_fascicularis_REEFv1___m1.13922.m1	1	1	adult_neuron_10	adult_neuron	2.04770148796886
Galaxea_fascicularis_REEFv1___m1.19822.m1	1	1	adult_digestive_filaments	adult_digestive	2.92547857587255
Galaxea_fascicularis_REEFv1___m1.15631.m1	1	1	adult_mitotic_host_cells	adult_mitotic	2.63546824927432
Galaxea_fascicularis_REEFv1___m1.2214.m1	1	1	adult_gastrodermis	adult_gastrodermis	2.19519307879901
Galaxea_fascicularis_REEFv1___m1.14979.m1	1	1	adult_gland_10	adult_gland	2.13681905191603
Galaxea_fascicularis_REEFv1___m1.2210.m1	1	1	adult_neuron_13	adult_neuron	2.2211886605922
Galaxea_fascicularis_REEFv1___m1.3267.m1	1	1	adult_germline_sperm	adult_germline	2.502976255616
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_1	adult_neuron	3.54083310192192
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_3	adult_neuron	2.41340155701634
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_4	adult_neuron	3.83057320678937
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_11	adult_neuron	2.0175427052343
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_5	adult_neuron	3.09386921811582
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_13	adult_neuron	6.55822951754398
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_7	adult_neuron	2.36565037705699
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_14	adult_neuron	2.53619018052165
Galaxea_fascicularis_REEFv1___m1.17348.m1	9	1	adult_neuron_9	adult_neuron	2.14639808285043
Galaxea_fascicularis_REEFv1___m1.4720.m1	1	1	adult_neuron_2	adult_neuron	2.33370607616083
Galaxea_fascicularis_REEFv1___m1.8309.m1	1	1	adult_immune_2	adult_immune	2.06744495668861
Galaxea_fascicularis_REEFv1___m1.16132.m1	1	1	adult_germline_sperm	adult_germline	3.87673463092191
Galaxea_fascicularis_REEFv1___m1.10236.m1	1	1	adult_neuron_1	adult_neuron	2.04752686337393
Galaxea_fascicularis_REEFv1___m1.2055.m1	1	1	adult_neuron_12	adult_neuron	2.43081072622263
Galaxea_fascicularis_REEFv1___m1.1399.m1	1	1	adult_germline_sperm	adult_germline	2.15415116868622
Galaxea_fascicularis_REEFv1___m1.20258.m1	1	1	adult_neuron_13	adult_neuron	4.22299936998062
Galaxea_fascicularis_REEFv1___m1.8756.m1	1	1	adult_neuron_8	adult_neuron	2.15885537844308
Galaxea_fascicularis_REEFv1___m1.19302.m1	1	1	adult_neuron_10	adult_neuron	2.44150330377467
Galaxea_fascicularis_REEFv1___m1.4565.m1	1	1	adult_neuron_13	adult_neuron	2.06309708270777
Galaxea_fascicularis_REEFv1___m1.10077.m1	1	1	adult_epidermis_1	adult_epidermis	2.41762998253148
Galaxea_fascicularis_REEFv1___m1.1034.m1	3	2	adult_neuron_4	adult_neuron	2.74667450188427
Galaxea_fascicularis_REEFv1___m1.1034.m1	3	2	adult_gland_7	adult_gland	2.09287712884069
