new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.13827.m1	1	1	adult_neuron_13	adult_neuron	2.86664370670689	0	0
Galaxea_fascicularis_REEFv1___m1.8015.m1	1	1	adult_gland_2	adult_gland	3.21465798758818	0	0
Galaxea_fascicularis_REEFv1___m1.2916.m1	1	1	adult_germline_sperm	adult_germline	8.28063151990144	0	0
Galaxea_fascicularis_REEFv1___m1.16838.m1	1	1	adult_germline_sperm	adult_germline	3.34110848162329	0	0
Galaxea_fascicularis_REEFv1___m1.16671.m1	1	1	adult_germline_sperm	adult_germline	2.63994350621047	0	0
Galaxea_fascicularis_REEFv1___m1.8775.m1	1	1	adult_gland_3_digestive	adult_gland	3.89749042627391	0	0
Galaxea_fascicularis_REEFv1___m1.17612.m1	1	1	adult_neuron_10	adult_neuron	2.60675108020348	0	0
Galaxea_fascicularis_REEFv1___m1.8096.m1	1	1	adult_germline_sperm	adult_germline	5.99817746696396	0	0
Galaxea_fascicularis_REEFv1___m1.15419.m1	1	1	adult_neuron_10	adult_neuron	2.60972784428772	0	0
Galaxea_fascicularis_REEFv1___m1.18267.m1	1	1	adult_neuron_13	adult_neuron	2.6131176651808	0	0
Galaxea_fascicularis_REEFv1___m1.13665.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.76422932755465	0	0
Galaxea_fascicularis_REEFv1___m1.10776.m1	1	1	adult_neuron_13	adult_neuron	2.86664370670689	0	0
Galaxea_fascicularis_REEFv1___m1.3092.m1	1	1	adult_cnidocyte	adult_cnidocyte	6.18927318087297	0	0
Galaxea_fascicularis_REEFv1___m1.2230.m1	1	1	adult_neuron_7	adult_neuron	2.97774883013998	0	0
Galaxea_fascicularis_REEFv1___m1.15936.m1	1	1	adult_neuron_1	adult_neuron	3.27121000809554	0	0
Galaxea_fascicularis_REEFv1___m1.19964.m1	1	1	adult_germline_sperm	adult_germline	2.82472380471969	0	0
Galaxea_fascicularis_REEFv1___m1.20364.m1	1	1	adult_germline_sperm	adult_germline	2.9331031478335	0	0
