gene	cell_type	FC	Species	Lifestage
Xesp_012319	muscle	125.162361231625	Xesp	Adult
Xesp_012455	alga.hosting_cells	30.7132890055409	Xesp	Adult
Xesp_012534	neuron	10.0537526226523	Xesp	Adult
Xesp_012650	gastrodermis	20.9491639036487	Xesp	Adult
Xesp_012680	gland	9.20001827366413	Xesp	Adult
Xesp_012742	neuron	17.6931670039479	Xesp	Adult
Xesp_013614	neuron	10.5657658933759	Xesp	Adult
Xesp_013615	epidermis	23.7675019871435	Xesp	Adult
Xesp_013753	precursors	11.2804315047955	Xesp	Adult
Xesp_014108	alga.hosting_cells	28.5924482216061	Xesp	Adult
Xesp_014296	gastrodermis	17.7447539440351	Xesp	Adult
Xesp_014332	muscle	71.7502380330806	Xesp	Adult
Xesp_014383	gastrodermis	20.3131867824804	Xesp	Adult
Xesp_014448	gastrodermis	25.82576893116	Xesp	Adult
Xesp_014471	precursors	9.43944669542655	Xesp	Adult
Xesp_014743	neuron	16.72802153122	Xesp	Adult
Xesp_014909	alga.hosting_cells	51.0210888016919	Xesp	Adult
Xesp_015086	digestive_filaments	12.5608553292866	Xesp	Adult
Xesp_015312	digestive_filaments	20.1625216623532	Xesp	Adult
Xesp_015330	epidermis	19.018593544477	Xesp	Adult
Xesp_015896	gastrodermis	20.8192591176221	Xesp	Adult
Xesp_016506	muscle	50.8874406628942	Xesp	Adult
Xesp_017191	neuron	21.528285614724	Xesp	Adult
Xesp_017409	precursors	8.5772793070407	Xesp	Adult
Xesp_017514	precursors	18.0958855276775	Xesp	Adult
Xesp_018334	precursors	11.0196864932535	Xesp	Adult
Xesp_018671	gland	17.3029957561024	Xesp	Adult
Xesp_021837	gland	7.45186737371195	Xesp	Adult
Xesp_022040	muscle	78.427512530915	Xesp	Adult
Xesp_022796	alga.hosting_cells	37.7046035550265	Xesp	Adult
Xesp_023317	precursors	15.6678266006768	Xesp	Adult
Xesp_026780	digestive_filaments	29.9610499568911	Xesp	Adult
Xesp_027493	precursors	21.1798180355048	Xesp	Adult
Xesp_027499	muscle	41.9508084173229	Xesp	Adult
Xesp_027596	muscle	118.013703725425	Xesp	Adult
Xesp_027769	precursors	16.4355686612973	Xesp	Adult
Xesp_027783	digestive_filaments	8.272113836404	Xesp	Adult
Xesp_027785	digestive_filaments	45.373088687089	Xesp	Adult
Xesp_028815	cnidocyte	127.944183417099	Xesp	Adult
Xesp_028933	alga.hosting_cells	34.0726623407199	Xesp	Adult
orphan_peak_12377	neuron	10.2532091487919	Xesp	Adult
orphan_peak_14011	neuron	15.2197676236799	Xesp	Adult
orphan_peak_2288	muscle	31.7400716257841	Xesp	Adult
orphan_peak_2468	epidermis	18.1822335346946	Xesp	Adult
orphan_peak_2837	muscle	70.3108735868372	Xesp	Adult
orphan_peak_4014	gland	10.0752592993276	Xesp	Adult
orphan_peak_6770	digestive_filaments	10.0414632020763	Xesp	Adult
orphan_peak_8600	neuron	12.9547107923039	Xesp	Adult
