"","gene","cell_type","FC","Species","Lifestage"
"328","Xesp_017191","neuron",21.528285614724,"Xesp","Adult"
"329","Xesp_017409","precursors",8.5772793070407,"Xesp","Adult"
"330","Xesp_017514","precursors",18.0958855276775,"Xesp","Adult"
"331","Xesp_018334","precursors",11.0196864932535,"Xesp","Adult"
"332","Xesp_018671","gland",17.3029957561024,"Xesp","Adult"
"333","Xesp_021837","gland",7.45186737371195,"Xesp","Adult"
"334","Xesp_022040","muscle",78.427512530915,"Xesp","Adult"
"335","Xesp_022796","alga.hosting_cells",37.7046035550265,"Xesp","Adult"
"336","Xesp_023317","precursors",15.6678266006768,"Xesp","Adult"
"337","Xesp_026780","digestive_filaments",29.9610499568911,"Xesp","Adult"
"338","Xesp_027493","precursors",21.1798180355048,"Xesp","Adult"
"339","Xesp_027499","muscle",41.9508084173229,"Xesp","Adult"
"340","Xesp_027596","muscle",118.013703725425,"Xesp","Adult"
"341","Xesp_027769","precursors",16.4355686612973,"Xesp","Adult"
"342","Xesp_027783","digestive_filaments",8.272113836404,"Xesp","Adult"
"343","Xesp_027785","digestive_filaments",45.373088687089,"Xesp","Adult"
"344","Xesp_028815","cnidocyte",127.944183417099,"Xesp","Adult"
"345","Xesp_028933","alga.hosting_cells",34.0726623407199,"Xesp","Adult"
"346","orphan_peak_12377","neuron",10.2532091487919,"Xesp","Adult"
"347","orphan_peak_14011","neuron",15.2197676236799,"Xesp","Adult"
"348","orphan_peak_2288","muscle",31.7400716257841,"Xesp","Adult"
"349","orphan_peak_2468","epidermis",18.1822335346946,"Xesp","Adult"
"350","orphan_peak_2837","muscle",70.3108735868372,"Xesp","Adult"
"351","orphan_peak_4014","gland",10.0752592993276,"Xesp","Adult"
"352","orphan_peak_6770","digestive_filaments",10.0414632020763,"Xesp","Adult"
"353","orphan_peak_8600","neuron",12.9547107923039,"Xesp","Adult"
